,minutes_x,playerid,web_name,element_type,team,now_cost,expected_goals.gw,expected_assists.gw,expected_goal_involvements.gw,expected_goals_conceded.gw
7715,0.0,142.0,Steele,1.0,5.0,42.0,0.00,0.00,0.00,0.00
7716,0.0,142.0,Steele,1.0,5.0,42.0,0.00,0.00,0.00,0.00
7717,0.0,142.0,Steele,1.0,5.0,42.0,0.00,0.00,0.00,0.00
7731,0.0,143.0,Undav,4.0,5.0,55.0,0.00,0.00,0.00,0.00
7732,0.0,143.0,Undav,4.0,5.0,55.0,0.00,0.00,0.00,0.00
7733,0.0,143.0,Undav,4.0,5.0,55.0,0.00,0.00,0.00,0.00
7734,0.0,143.0,Undav,4.0,5.0,55.0,0.00,0.00,0.00,0.00
7748,71.0,144.0,Van Hecke,2.0,5.0,45.0,0.33,0.16,0.49,0.63
7749,90.0,144.0,Van Hecke,2.0,5.0,45.0,0.08,0.01,0.09,1.31
7750,90.0,144.0,Van Hecke,2.0,5.0,45.0,0.00,0.05,0.05,2.31
7751,90.0,144.0,Van Hecke,2.0,5.0,45.0,0.00,0.03,0.03,1.31
7765,0.0,145.0,Veltman,2.0,5.0,45.0,0.00,0.00,0.00,0.00
7766,0.0,145.0,Veltman,2.0,5.0,45.0,0.00,0.00,0.00,0.00
7767,0.0,145.0,Veltman,2.0,5.0,45.0,0.00,0.00,0.00,0.00
7768,66.0,145.0,Veltman,2.0,5.0,45.0,0.00,0.01,0.01,0.58
7782,90.0,146.0,Verbruggen,1.0,5.0,45.0,0.00,0.00,0.00,0.66
7783,90.0,146.0,Verbruggen,1.0,5.0,45.0,0.00,0.00,0.00,1.31
7784,90.0,146.0,Verbruggen,1.0,5.0,45.0,0.00,0.00,0.00,2.31
7785,90.0,146.0,Verbruggen,1.0,5.0,45.0,0.00,0.00,0.00,1.31
7799,0.0,147.0,Webster,2.0,5.0,43.0,0.00,0.00,0.00,0.00
7800,0.0,147.0,Webster,2.0,5.0,43.0,0.00,0.00,0.00,0.00
7801,0.0,147.0,Webster,2.0,5.0,43.0,0.00,0.00,0.00,0.00
7802,0.0,147.0,Webster,2.0,5.0,43.0,0.00,0.00,0.00,0.00
7816,0.0,148.0,Welbeck,4.0,5.0,56.0,0.00,0.00,0.00,0.00
7817,20.0,148.0,Welbeck,4.0,5.0,56.0,0.27,0.01,0.28,1.00
7818,0.0,148.0,Welbeck,4.0,5.0,56.0,0.00,0.00,0.00,0.00
7819,0.0,148.0,Welbeck,4.0,5.0,56.0,0.00,0.00,0.00,0.00
7833,85.0,149.0,Wieffer,3.0,5.0,47.0,0.06,0.01,0.07,0.63
7834,45.0,149.0,Wieffer,3.0,5.0,47.0,0.00,0.01,0.01,1.15
7835,2.0,149.0,Wieffer,3.0,5.0,47.0,0.00,0.01,0.01,0.39
7836,55.0,149.0,Wieffer,3.0,5.0,47.0,0.19,0.03,0.22,0.30
7850,82.0,217.0,A.Doucoure,3.0,8.0,51.0,0.02,0.02,0.04,0.78
7852,90.0,217.0,A.Doucoure,3.0,8.0,51.0,0.09,0.00,0.09,1.22
7853,90.0,217.0,A.Doucoure,3.0,8.0,51.0,0.00,0.03,0.03,0.86
7867,0.0,218.0,Beto,4.0,8.0,49.0,0.00,0.00,0.00,0.00
7869,0.0,218.0,Beto,4.0,8.0,49.0,0.00,0.00,0.00,0.00
7870,17.0,218.0,Beto,4.0,8.0,49.0,0.00,0.00,0.00,0.06
7884,90.0,219.0,Branthwaite,2.0,8.0,48.0,0.00,0.00,0.00,0.78
7886,90.0,219.0,Branthwaite,2.0,8.0,48.0,0.00,0.00,0.00,1.22
7887,90.0,219.0,Branthwaite,2.0,8.0,48.0,0.00,0.01,0.01,0.86
7901,82.0,220.0,Calvert-Lewin,4.0,8.0,54.0,0.31,0.01,0.32,0.78
7903,65.0,220.0,Calvert-Lewin,4.0,8.0,54.0,0.00,0.00,0.00,1.07
7904,72.0,220.0,Calvert-Lewin,4.0,8.0,54.0,0.00,0.00,0.00,0.80
7918,0.0,221.0,Coleman,2.0,8.0,43.0,0.00,0.00,0.00,0.00
7920,0.0,221.0,Coleman,2.0,8.0,43.0,0.00,0.00,0.00,0.00
7921,17.0,221.0,Coleman,2.0,8.0,43.0,0.00,0.00,0.00,0.06
7935,90.0,222.0,Gana,3.0,8.0,48.0,0.00,0.01,0.01,0.78
7937,90.0,222.0,Gana,3.0,8.0,48.0,0.00,0.01,0.01,1.22
7938,90.0,222.0,Gana,3.0,8.0,48.0,0.00,0.00,0.00,0.86
7952,0.0,223.0,Garner,3.0,8.0,49.0,0.00,0.00,0.00,0.00
7954,0.0,223.0,Garner,3.0,8.0,49.0,0.00,0.00,0.00,0.00
7955,0.0,223.0,Garner,3.0,8.0,49.0,0.00,0.00,0.00,0.00
7969,16.0,224.0,Harrison,3.0,8.0,52.0,0.39,0.00,0.39,0.00
7971,65.0,224.0,Harrison,3.0,8.0,52.0,0.00,0.00,0.00,1.07
7972,73.0,224.0,Harrison,3.0,8.0,52.0,0.56,0.00,0.56,0.80
7986,0.0,225.0,Holgate,2.0,8.0,40.0,0.00,0.00,0.00,0.00
7988,0.0,225.0,Holgate,2.0,8.0,40.0,0.00,0.00,0.00,0.00
7989,0.0,225.0,Holgate,2.0,8.0,40.0,0.00,0.00,0.00,0.00
8003,0.0,226.0,Iroegbunam,3.0,8.0,44.0,0.00,0.00,0.00,0.00
8005,0.0,226.0,Iroegbunam,3.0,8.0,44.0,0.00,0.00,0.00,0.00
8006,0.0,226.0,Iroegbunam,3.0,8.0,44.0,0.00,0.00,0.00,0.00
8020,0.0,227.0,J.Virginia,1.0,8.0,39.0,0.00,0.00,0.00,0.00
8022,0.0,227.0,J.Virginia,1.0,8.0,39.0,0.00,0.00,0.00,0.00
8023,0.0,227.0,J.Virginia,1.0,8.0,39.0,0.00,0.00,0.00,0.00
8037,0.0,228.0,Keane,2.0,8.0,41.0,0.00,0.00,0.00,0.00
8039,0.0,228.0,Keane,2.0,8.0,41.0,0.00,0.00,0.00,0.00
8040,0.0,228.0,Keane,2.0,8.0,41.0,0.00,0.00,0.00,0.00
8054,0.0,229.0,Maupay,4.0,8.0,49.0,0.00,0.00,0.00,0.00
8056,0.0,229.0,Maupay,4.0,8.0,49.0,0.00,0.00,0.00,0.00
8057,0.0,229.0,Maupay,4.0,8.0,49.0,0.00,0.00,0.00,0.00
8071,73.0,230.0,McNeil,3.0,8.0,52.0,0.07,0.06,0.13,0.78
8073,0.0,230.0,McNeil,3.0,8.0,52.0,0.00,0.00,0.00,0.00
8074,0.0,230.0,McNeil,3.0,8.0,52.0,0.00,0.00,0.00,0.00
8088,90.0,231.0,Mykolenko,2.0,8.0,43.0,0.03,0.02,0.05,0.78
8090,90.0,231.0,Mykolenko,2.0,8.0,43.0,0.00,0.01,0.01,1.22
8091,90.0,231.0,Mykolenko,2.0,8.0,43.0,0.00,0.01,0.01,0.86
8105,90.0,232.0,Ndiaye,4.0,8.0,54.0,0.04,0.00,0.04,0.78
8107,90.0,232.0,Ndiaye,4.0,8.0,54.0,0.00,0.01,0.01,1.22
8108,90.0,232.0,Ndiaye,4.0,8.0,54.0,0.29,0.08,0.37,0.86
8122,0.0,234.0,Patterson,2.0,8.0,44.0,0.00,0.00,0.00,0.00
8124,0.0,234.0,Patterson,2.0,8.0,44.0,0.00,0.00,0.00,0.00
8125,0.0,234.0,Patterson,2.0,8.0,44.0,0.00,0.00,0.00,0.00
8139,90.0,235.0,Pickford,1.0,8.0,49.0,0.00,0.01,0.01,0.78
8141,90.0,235.0,Pickford,1.0,8.0,49.0,0.00,0.00,0.00,1.22
8142,90.0,235.0,Pickford,1.0,8.0,49.0,0.00,0.00,0.00,0.86
8156,90.0,236.0,Tarkowski,2.0,8.0,48.0,0.03,0.00,0.03,0.78
8158,90.0,236.0,Tarkowski,2.0,8.0,48.0,0.00,0.07,0.07,1.22
8159,90.0,236.0,Tarkowski,2.0,8.0,48.0,0.00,0.00,0.00,0.86
8173,0.0,237.0,Y. Chermiti,4.0,8.0,49.0,0.00,0.00,0.00,0.00
8175,0.0,237.0,Y. Chermiti,4.0,8.0,49.0,0.00,0.00,0.00,0.00
8176,0.0,237.0,Y. Chermiti,4.0,8.0,49.0,0.00,0.00,0.00,0.00
8190,90.0,238.0,Young,2.0,8.0,47.0,0.05,0.02,0.07,0.78
8192,90.0,238.0,Young,2.0,8.0,47.0,0.00,0.00,0.00,1.22
8193,72.0,238.0,Young,2.0,8.0,47.0,0.04,0.00,0.04,0.80
8207,7.0,577.0,Lindstrøm,3.0,8.0,51.0,0.00,0.04,0.04,0.00
8209,24.0,577.0,Lindstrøm,3.0,8.0,51.0,0.00,0.01,0.01,0.15
8210,16.0,577.0,Lindstrøm,3.0,8.0,51.0,0.00,0.00,0.00,0.06
8224,0.0,582.0,O'Brien,2.0,8.0,46.0,0.00,0.00,0.00,0.00
8226,0.0,582.0,O'Brien,2.0,8.0,46.0,0.00,0.00,0.00,0.00
8227,0.0,582.0,O'Brien,2.0,8.0,46.0,0.00,0.00,0.00,0.00
8241,4.0,595.0,Gruda,3.0,5.0,54.0,0.00,0.00,0.00,0.03
8242,0.0,595.0,Gruda,3.0,5.0,54.0,0.00,0.00,0.00,0.00
8243,18.0,595.0,Gruda,3.0,5.0,54.0,0.05,0.05,0.10,1.01
8244,67.0,595.0,Gruda,3.0,5.0,54.0,0.00,0.07,0.07,0.58
8258,0.0,600.0,Ayari,3.0,5.0,50.0,0.00,0.00,0.00,0.00
8259,70.0,600.0,Ayari,3.0,5.0,50.0,0.05,0.04,0.09,0.32
8260,71.0,600.0,Ayari,3.0,5.0,50.0,0.13,0.18,0.31,1.30
8261,34.0,600.0,Ayari,3.0,5.0,50.0,0.26,0.01,0.27,1.01
8275,0.0,601.0,Moran,3.0,5.0,50.0,0.00,0.00,0.00,0.00
8276,0.0,601.0,Moran,3.0,5.0,50.0,0.00,0.00,0.00,0.00
8277,0.0,601.0,Moran,3.0,5.0,50.0,0.00,0.00,0.00,0.00
8278,0.0,601.0,Moran,3.0,5.0,50.0,0.00,0.00,0.00,0.00
8292,1.0,603.0,Armstrong,3.0,8.0,45.0,0.00,0.00,0.00,0.00
8294,0.0,603.0,Armstrong,3.0,8.0,45.0,0.00,0.00,0.00,0.00
8295,0.0,603.0,Armstrong,3.0,8.0,45.0,0.00,0.00,0.00,0.00
8309,0.0,614.0,Metcalfe,3.0,8.0,45.0,0.00,0.00,0.00,0.00
8311,0.0,614.0,Metcalfe,3.0,8.0,45.0,0.00,0.00,0.00,0.00
8312,0.0,614.0,Metcalfe,3.0,8.0,45.0,0.00,0.00,0.00,0.00
8326,0.0,615.0,Rushworth,1.0,5.0,40.0,0.00,0.00,0.00,0.00
8327,0.0,615.0,Rushworth,1.0,5.0,40.0,0.00,0.00,0.00,0.00
8328,0.0,615.0,Rushworth,1.0,5.0,40.0,0.00,0.00,0.00,0.00
8329,0.0,615.0,Rushworth,1.0,5.0,40.0,0.00,0.00,0.00,0.00
8343,0.0,150.0,Andrey Santos,3.0,6.0,45.0,0.00,0.00,0.00,0.00
8344,0.0,150.0,Andrey Santos,3.0,6.0,45.0,0.00,0.00,0.00,0.00
8345,0.0,150.0,Andrey Santos,3.0,6.0,45.0,0.00,0.00,0.00,0.00
8346,0.0,150.0,Andrey Santos,3.0,6.0,45.0,0.00,0.00,0.00,0.00
8360,0.0,151.0,Ângelo,3.0,6.0,45.0,0.00,0.00,0.00,0.00
8361,0.0,151.0,Ângelo,3.0,6.0,45.0,0.00,0.00,0.00,0.00
8362,0.0,151.0,Ângelo,3.0,6.0,45.0,0.00,0.00,0.00,0.00
8363,0.0,151.0,Ângelo,3.0,6.0,45.0,0.00,0.00,0.00,0.00
8377,90.0,152.0,Arrizabalaga,1.0,3.0,45.0,0.00,0.00,0.00,0.58
8378,90.0,152.0,Arrizabalaga,1.0,3.0,45.0,0.00,0.00,0.00,1.32
8379,90.0,152.0,Arrizabalaga,1.0,3.0,45.0,0.00,0.00,0.00,2.18
8380,90.0,152.0,Arrizabalaga,1.0,3.0,45.0,0.00,0.00,0.00,2.26
8394,0.0,153.0,B.Badiashile,2.0,6.0,43.0,0.00,0.00,0.00,0.00
8395,90.0,153.0,B.Badiashile,2.0,6.0,43.0,0.00,0.01,0.01,2.90
8396,0.0,153.0,B.Badiashile,2.0,6.0,43.0,0.00,0.00,0.00,0.00
8397,0.0,153.0,B.Badiashile,2.0,6.0,43.0,0.00,0.00,0.00,0.00
8411,0.0,154.0,Bergström,1.0,6.0,39.0,0.00,0.00,0.00,0.00
8412,0.0,154.0,Bergström,1.0,6.0,39.0,0.00,0.00,0.00,0.00
8413,0.0,154.0,Bergström,1.0,6.0,39.0,0.00,0.00,0.00,0.00
8414,0.0,154.0,Bergström,1.0,6.0,39.0,0.00,0.00,0.00,0.00
8428,0.0,155.0,Bettinelli,1.0,6.0,39.0,0.00,0.00,0.00,0.00
8429,0.0,155.0,Bettinelli,1.0,6.0,39.0,0.00,0.00,0.00,0.00
8430,0.0,155.0,Bettinelli,1.0,6.0,39.0,0.00,0.00,0.00,0.00
8431,0.0,155.0,Bettinelli,1.0,6.0,39.0,0.00,0.00,0.00,0.00
8445,7.0,156.0,Broja,4.0,8.0,54.0,0.00,0.06,0.06,0.00
8447,24.0,156.0,Broja,4.0,8.0,54.0,0.00,0.00,0.00,0.15
8448,0.0,156.0,Broja,4.0,8.0,54.0,0.00,0.00,0.00,0.00
8462,90.0,157.0,Caicedo,3.0,6.0,49.0,0.04,0.07,0.11,1.56
8463,90.0,157.0,Caicedo,3.0,6.0,49.0,0.00,0.02,0.02,2.90
8464,90.0,157.0,Caicedo,3.0,6.0,49.0,0.01,0.06,0.07,1.61
8465,90.0,157.0,Caicedo,3.0,6.0,49.0,0.00,0.05,0.05,1.03
8479,0.0,158.0,Casadei,3.0,6.0,44.0,0.00,0.00,0.00,0.00
8480,0.0,158.0,Casadei,3.0,6.0,44.0,0.00,0.00,0.00,0.00
8481,0.0,158.0,Casadei,3.0,6.0,44.0,0.00,0.00,0.00,0.00
8482,0.0,158.0,Casadei,3.0,6.0,44.0,0.00,0.00,0.00,0.00
8496,80.0,159.0,Chalobah,2.0,7.0,44.0,0.08,0.01,0.09,0.48
8497,90.0,159.0,Chalobah,2.0,7.0,44.0,0.00,0.01,0.01,1.45
8498,90.0,159.0,Chalobah,2.0,7.0,44.0,0.41,0.00,0.41,1.00
8499,0.0,159.0,Chalobah,2.0,7.0,44.0,0.00,0.00,0.00,0.00
8513,0.0,160.0,Chilwell,2.0,6.0,47.0,0.00,0.00,0.00,0.00
8514,0.0,160.0,Chilwell,2.0,6.0,47.0,0.00,0.00,0.00,0.00
8515,0.0,160.0,Chilwell,2.0,6.0,47.0,0.00,0.00,0.00,0.00
8516,0.0,160.0,Chilwell,2.0,6.0,47.0,0.00,0.00,0.00,0.00
8530,0.0,161.0,Chukwuemeka,3.0,6.0,48.0,0.00,0.00,0.00,0.00
8531,0.0,161.0,Chukwuemeka,3.0,6.0,48.0,0.00,0.00,0.00,0.00
8532,0.0,161.0,Chukwuemeka,3.0,6.0,48.0,0.00,0.00,0.00,0.00
8533,0.0,161.0,Chukwuemeka,3.0,6.0,48.0,0.00,0.00,0.00,0.00
8547,0.0,162.0,Colwill,2.0,6.0,46.0,0.00,0.00,0.00,0.00
8548,90.0,162.0,Colwill,2.0,6.0,46.0,0.19,0.01,0.20,2.90
8549,90.0,162.0,Colwill,2.0,6.0,46.0,0.00,0.05,0.05,1.61
8550,90.0,162.0,Colwill,2.0,6.0,46.0,0.00,0.02,0.02,1.03
8564,78.0,163.0,Cucurella,2.0,6.0,52.0,0.00,0.17,0.17,1.56
8565,90.0,163.0,Cucurella,2.0,6.0,52.0,0.01,0.07,0.08,2.02
8566,90.0,163.0,Cucurella,2.0,6.0,52.0,0.12,0.02,0.14,1.61
8567,0.0,163.0,Cucurella,2.0,6.0,52.0,0.00,0.00,0.00,0.00
8581,0.0,164.0,D.D.Fofana,4.0,6.0,54.0,0.00,0.00,0.00,0.00
8582,0.0,164.0,D.D.Fofana,4.0,6.0,54.0,0.00,0.00,0.00,0.00
8583,0.0,164.0,D.D.Fofana,4.0,6.0,54.0,0.00,0.00,0.00,0.00
8584,0.0,164.0,D.D.Fofana,4.0,6.0,54.0,0.00,0.00,0.00,0.00
8598,0.0,165.0,Deivid,4.0,6.0,49.0,0.00,0.00,0.00,0.00
8599,0.0,165.0,Deivid,4.0,6.0,49.0,0.00,0.00,0.00,0.00
8600,0.0,165.0,Deivid,4.0,6.0,49.0,0.00,0.00,0.00,0.00
8601,0.0,165.0,Deivid,4.0,6.0,49.0,0.00,0.00,0.00,0.00
8615,11.0,166.0,Dewsbury-Hall,3.0,6.0,55.0,0.00,0.02,0.02,0.00
8616,0.0,166.0,Dewsbury-Hall,3.0,6.0,55.0,0.00,0.00,0.00,0.00
8617,0.0,166.0,Dewsbury-Hall,3.0,6.0,55.0,0.00,0.00,0.00,0.00
8618,0.0,166.0,Dewsbury-Hall,3.0,6.0,55.0,0.00,0.00,0.00,0.00
8632,90.0,167.0,Disasi,2.0,6.0,42.0,0.25,0.02,0.27,1.56
8633,0.0,167.0,Disasi,2.0,6.0,42.0,0.00,0.00,0.00,0.00
8634,0.0,167.0,Disasi,2.0,6.0,42.0,0.00,0.00,0.00,0.00
8635,90.0,167.0,Disasi,2.0,6.0,42.0,0.00,0.02,0.02,1.03
8649,90.0,168.0,Enzo,3.0,6.0,51.0,0.07,0.85,0.92,1.56
8650,90.0,168.0,Enzo,3.0,6.0,51.0,0.13,0.35,0.48,2.90
8651,90.0,168.0,Enzo,3.0,6.0,51.0,0.11,0.08,0.19,1.61
8652,90.0,168.0,Enzo,3.0,6.0,51.0,0.10,0.24,0.34,1.03
8666,0.0,169.0,Gallagher,3.0,6.0,59.0,0.00,0.00,0.00,0.00
8667,0.0,169.0,Gallagher,3.0,6.0,59.0,0.00,0.00,0.00,0.00
8668,0.0,169.0,Gallagher,3.0,6.0,59.0,0.00,0.00,0.00,0.00
8669,0.0,169.0,Gallagher,3.0,6.0,59.0,0.00,0.00,0.00,0.00
8683,0.0,170.0,Gilchrist,2.0,6.0,40.0,0.00,0.00,0.00,0.00
8684,0.0,170.0,Gilchrist,2.0,6.0,40.0,0.00,0.00,0.00,0.00
8685,0.0,170.0,Gilchrist,2.0,6.0,40.0,0.00,0.00,0.00,0.00
8686,0.0,170.0,Gilchrist,2.0,6.0,40.0,0.00,0.00,0.00,0.00
8700,90.0,171.0,Gusto,2.0,6.0,49.0,0.00,0.31,0.31,1.56
8701,45.0,171.0,Gusto,2.0,6.0,49.0,0.03,0.01,0.04,1.43
8702,90.0,171.0,Gusto,2.0,6.0,49.0,0.03,0.27,0.30,1.61
8703,90.0,171.0,Gusto,2.0,6.0,49.0,0.25,0.03,0.28,1.03
8717,0.0,172.0,James,2.0,6.0,48.0,0.00,0.00,0.00,0.00
8718,0.0,172.0,James,2.0,6.0,48.0,0.00,0.00,0.00,0.00
8719,0.0,172.0,James,2.0,6.0,48.0,0.00,0.00,0.00,0.00
8720,0.0,172.0,James,2.0,6.0,48.0,0.00,0.00,0.00,0.00
8734,0.0,173.0,Kellyman,3.0,6.0,44.0,0.00,0.00,0.00,0.00
8735,0.0,173.0,Kellyman,3.0,6.0,44.0,0.00,0.00,0.00,0.00
8736,0.0,173.0,Kellyman,3.0,6.0,44.0,0.00,0.00,0.00,0.00
8737,0.0,173.0,Kellyman,3.0,6.0,44.0,0.00,0.00,0.00,0.00
8751,0.0,174.0,Lavia,3.0,6.0,45.0,0.00,0.00,0.00,0.00
8752,45.0,174.0,Lavia,3.0,6.0,45.0,0.00,0.01,0.01,1.47
8753,0.0,174.0,Lavia,3.0,6.0,45.0,0.00,0.00,0.00,0.00
8754,0.0,174.0,Lavia,3.0,6.0,45.0,0.00,0.00,0.00,0.00
8768,0.0,175.0,Lukaku,4.0,6.0,63.0,0.00,0.00,0.00,0.00
8769,0.0,175.0,Lukaku,4.0,6.0,63.0,0.00,0.00,0.00,0.00
8770,0.0,175.0,Lukaku,4.0,6.0,63.0,0.00,0.00,0.00,0.00
8771,0.0,175.0,Lukaku,4.0,6.0,63.0,0.00,0.00,0.00,0.00
8785,0.0,176.0,M.Sarr,2.0,6.0,45.0,0.00,0.00,0.00,0.00
8786,0.0,176.0,M.Sarr,2.0,6.0,45.0,0.00,0.00,0.00,0.00
8787,0.0,176.0,M.Sarr,2.0,6.0,45.0,0.00,0.00,0.00,0.00
8788,0.0,176.0,M.Sarr,2.0,6.0,45.0,0.00,0.00,0.00,0.00
8802,71.0,177.0,Madueke,3.0,6.0,63.0,1.18,0.15,1.33,1.56
8803,4.0,177.0,Madueke,3.0,6.0,63.0,0.00,0.00,0.00,0.97
8804,90.0,177.0,Madueke,3.0,6.0,63.0,0.48,0.11,0.59,1.61
8805,14.0,177.0,Madueke,3.0,6.0,63.0,0.00,0.00,0.00,0.32
8819,0.0,178.0,Marc Guiu,4.0,6.0,47.0,0.00,0.00,0.00,0.00
8820,0.0,178.0,Marc Guiu,4.0,6.0,47.0,0.00,0.00,0.00,0.00
8821,0.0,178.0,Marc Guiu,4.0,6.0,47.0,0.00,0.00,0.00,0.00
8822,0.0,178.0,Marc Guiu,4.0,6.0,47.0,0.00,0.00,0.00,0.00
8836,0.0,179.0,Mudryk,3.0,6.0,62.0,0.00,0.00,0.00,0.00
8837,0.0,179.0,Mudryk,3.0,6.0,62.0,0.00,0.00,0.00,0.00
8838,0.0,179.0,Mudryk,3.0,6.0,62.0,0.00,0.00,0.00,0.00
8839,0.0,179.0,Mudryk,3.0,6.0,62.0,0.00,0.00,0.00,0.00
8853,0.0,180.0,N.Jackson,4.0,6.0,83.0,0.00,0.00,0.00,0.00
8854,75.0,180.0,N.Jackson,4.0,6.0,83.0,0.32,0.02,0.34,1.93
8855,82.0,180.0,N.Jackson,4.0,6.0,83.0,1.13,0.00,1.13,1.07
8856,75.0,180.0,N.Jackson,4.0,6.0,83.0,0.25,0.02,0.27,0.71
8870,90.0,181.0,Nkunku,3.0,6.0,58.0,1.15,0.06,1.21,1.56
8871,14.0,181.0,Nkunku,3.0,6.0,58.0,0.00,0.00,0.00,0.97
8872,7.0,181.0,Nkunku,3.0,6.0,58.0,0.00,0.00,0.00,0.53
8873,15.0,181.0,Nkunku,3.0,6.0,58.0,0.00,0.01,0.01,0.32
8887,78.0,182.0,Palmer,3.0,6.0,113.0,1.83,0.32,2.15,1.56
8888,90.0,182.0,Palmer,3.0,6.0,113.0,1.68,0.67,2.35,2.02
8889,90.0,182.0,Palmer,3.0,6.0,113.0,0.21,0.33,0.54,1.61
8890,90.0,182.0,Palmer,3.0,6.0,113.0,0.08,0.33,0.41,1.03
8904,0.0,183.0,Petrović,1.0,6.0,44.0,0.00,0.00,0.00,0.00
8905,0.0,183.0,Petrović,1.0,6.0,44.0,0.00,0.00,0.00,0.00
8906,0.0,183.0,Petrović,1.0,6.0,44.0,0.00,0.00,0.00,0.00
8907,0.0,183.0,Petrović,1.0,6.0,44.0,0.00,0.00,0.00,0.00
8921,11.0,184.0,Renato Veiga,3.0,6.0,45.0,0.00,0.00,0.00,0.00
8922,1.0,184.0,Renato Veiga,3.0,6.0,45.0,0.00,0.00,0.00,0.88
8923,0.0,184.0,Renato Veiga,3.0,6.0,45.0,0.00,0.00,0.00,0.00
8924,0.0,184.0,Renato Veiga,3.0,6.0,45.0,0.00,0.00,0.00,0.00
8938,0.0,185.0,Sánchez,1.0,6.0,48.0,0.00,0.00,0.00,0.00
8939,90.0,185.0,Sánchez,1.0,6.0,48.0,0.00,0.00,0.00,2.90
8940,90.0,185.0,Sánchez,1.0,6.0,48.0,0.00,0.00,0.00,1.61
8941,90.0,185.0,Sánchez,1.0,6.0,48.0,0.00,0.00,0.00,1.03
8955,0.0,186.0,Sterling,3.0,1.0,67.0,0.00,0.00,0.00,0.00
8956,0.0,186.0,Sterling,3.0,1.0,67.0,0.00,0.00,0.00,0.00
8957,0.0,186.0,Sterling,3.0,1.0,67.0,0.00,0.00,0.00,0.00
8958,0.0,186.0,Sterling,3.0,1.0,67.0,0.00,0.00,0.00,0.00
8972,90.0,187.0,Tosin,2.0,6.0,42.0,0.17,0.02,0.19,1.56
8973,0.0,187.0,Tosin,2.0,6.0,42.0,0.00,0.00,0.00,0.00
8974,90.0,187.0,Tosin,2.0,6.0,42.0,0.13,0.01,0.14,1.61
8975,90.0,187.0,Tosin,2.0,6.0,42.0,0.00,0.01,0.01,1.03
8989,0.0,188.0,Ugochukwu,3.0,17.0,45.0,0.00,0.00,0.00,0.00
8990,0.0,188.0,Ugochukwu,3.0,17.0,45.0,0.00,0.00,0.00,0.00
8991,0.0,188.0,Ugochukwu,3.0,17.0,45.0,0.00,0.00,0.00,0.00
8992,33.0,188.0,Ugochukwu,3.0,17.0,45.0,0.00,0.02,0.02,0.68
9006,0.0,189.0,W.Fofana,2.0,6.0,44.0,0.00,0.00,0.00,0.00
9007,0.0,189.0,W.Fofana,2.0,6.0,44.0,0.00,0.00,0.00,0.00
9008,0.0,189.0,W.Fofana,2.0,6.0,44.0,0.00,0.00,0.00,0.00
9009,0.0,189.0,W.Fofana,2.0,6.0,44.0,0.00,0.00,0.00,0.00
9023,45.0,340.0,Akanji,2.0,13.0,53.0,0.14,0.01,0.15,0.80
9024,0.0,340.0,Akanji,2.0,13.0,53.0,0.00,0.00,0.00,0.00
9025,0.0,340.0,Akanji,2.0,13.0,53.0,0.00,0.00,0.00,0.00
9026,90.0,340.0,Akanji,2.0,13.0,53.0,0.00,0.05,0.05,1.67
9040,89.0,341.0,Aké,2.0,13.0,53.0,0.00,0.02,0.02,1.04
9041,0.0,341.0,Aké,2.0,13.0,53.0,0.00,0.00,0.00,0.00
9042,0.0,341.0,Aké,2.0,13.0,53.0,0.00,0.00,0.00,0.00
9043,0.0,341.0,Aké,2.0,13.0,53.0,0.00,0.00,0.00,0.00
9057,90.0,342.0,Bernardo,3.0,13.0,63.0,0.84,0.28,1.12,1.04
9058,90.0,342.0,Bernardo,3.0,13.0,63.0,0.00,0.41,0.41,1.34
9059,90.0,342.0,Bernardo,3.0,13.0,63.0,0.00,0.00,0.00,2.08
9060,90.0,342.0,Bernardo,3.0,13.0,63.0,0.00,0.11,0.11,1.67
9074,0.0,343.0,Bobb,3.0,13.0,47.0,0.00,0.00,0.00,0.00
9075,0.0,343.0,Bobb,3.0,13.0,47.0,0.00,0.00,0.00,0.00
9076,0.0,343.0,Bobb,3.0,13.0,47.0,0.00,0.00,0.00,0.00
9077,0.0,343.0,Bobb,3.0,13.0,47.0,0.00,0.00,0.00,0.00
9091,0.0,344.0,Carson,1.0,13.0,40.0,0.00,0.00,0.00,0.00
9092,0.0,344.0,Carson,1.0,13.0,40.0,0.00,0.00,0.00,0.00
9093,0.0,344.0,Carson,1.0,13.0,40.0,0.00,0.00,0.00,0.00
9094,0.0,344.0,Carson,1.0,13.0,40.0,0.00,0.00,0.00,0.00
9108,73.0,345.0,De Bruyne,3.0,13.0,95.0,0.35,0.25,0.60,0.94
9109,85.0,345.0,De Bruyne,3.0,13.0,95.0,0.02,0.63,0.65,1.23
9110,67.0,345.0,De Bruyne,3.0,13.0,95.0,0.06,0.03,0.09,0.21
9111,0.0,345.0,De Bruyne,3.0,13.0,95.0,0.00,0.00,0.00,0.00
9125,89.0,346.0,Doku,3.0,13.0,62.0,0.19,0.24,0.43,1.04
9126,11.0,346.0,Doku,3.0,13.0,62.0,0.00,0.01,0.01,0.11
9127,76.0,346.0,Doku,3.0,13.0,62.0,0.02,0.07,0.09,0.67
9128,6.0,346.0,Doku,3.0,13.0,62.0,0.00,0.00,0.00,0.00
