,event,playerid,web_name,element_type,team,now_cost,expected_goals.gw,expected_assists.gw,expected_goal_involvements.gw,expected_goals_conceded.gw,XGI_Weighted,XGC_Weighted,AttackOpp_pergame,DefenceOpp_pergame
33,32.0,2.0,G.Jesus,4.0,1.0,68.0,0.10823529411764705,0.008823529411764706,0.11705882352941177,0.23470588235294118,0.3478888552463483,2.82634329472,0.3308484209701647,0.08165156073134881
34,35.0,2.0,G.Jesus,4.0,1.0,68.0,0.10823529411764705,0.008823529411764706,0.11705882352941177,0.23470588235294118,0.5897893416787048,2.693158923575,0.3152580151714265,0.1384270278410607
35,24.0,2.0,G.Jesus,4.0,1.0,68.0,0.10823529411764705,0.008823529411764706,0.11705882352941177,0.23470588235294118,0.6379983648101909,1.8118273038000001,0.21209037262129415,0.1497419691525095
36,38.0,2.0,G.Jesus,4.0,1.0,68.0,0.10823529411764705,0.008823529411764706,0.11705882352941177,0.23470588235294118,0.24705882352941178,4.76,0.5572,0.057986159169550175
37,36.0,2.0,G.Jesus,4.0,1.0,68.0,0.10823529411764705,0.008823529411764706,0.11705882352941177,0.23470588235294118,0.8266669419453656,1.9589323501599998,0.2293103162834353,0.19402359402129463
38,23.0,2.0,G.Jesus,4.0,1.0,68.0,0.10823529411764705,0.008823529411764706,0.11705882352941177,0.23470588235294118,0.32367788494185806,1.64266044076,0.1922878986536706,0.07596910358341256
39,29.0,2.0,G.Jesus,4.0,1.0,68.0,0.10823529411764705,0.008823529411764706,0.11705882352941177,0.23470588235294118,0.9223346090599682,2.4234503627,0.2836862483395883,0.2164773582440749
40,27.0,2.0,G.Jesus,4.0,1.0,68.0,0.10823529411764705,0.008823529411764706,0.11705882352941177,0.23470588235294118,0.38042269822468006,2.11041091405,0.24704221876232355,0.0892874450539102
41,37.0,2.0,G.Jesus,4.0,1.0,68.0,0.10823529411764705,0.008823529411764706,0.11705882352941177,0.23470588235294118,0.7766434757614936,1.54409883446,0.18075039297502354,0.18228279225225644
42,31.0,3.0,Gabriel,2.0,1.0,63.0,0.1264705882352941,0.03235294117647059,0.15882352941176472,0.8341176470588236,0.12447391851733418,1.4551910592266666,0.23111857999482355,0.10382589203387052
43,20.0,3.0,Gabriel,2.0,1.0,63.0,0.1264705882352941,0.03235294117647059,0.15882352941176472,0.8341176470588236,0.41673048707050014,2.01927785215,0.32070883534147065,0.3476022533329231
44,25.0,3.0,Gabriel,2.0,1.0,63.0,0.1264705882352941,0.03235294117647059,0.15882352941176472,0.8341176470588236,0.2729411764705883,4.03325,0.640575,0.22766505190311426
45,34.0,3.0,Gabriel,2.0,1.0,63.0,0.1264705882352941,0.03235294117647059,0.15882352941176472,0.8341176470588236,0.40172110633422187,2.4442081447,0.38819776415823537,0.33508266398936865
46,30.0,3.0,Gabriel,2.0,1.0,63.0,0.1264705882352941,0.03235294117647059,0.15882352941176472,0.8341176470588236,0.2351459292316733,2.22091873632,0.35273415223905885,0.196139369206184
47,21.0,3.0,Gabriel,2.0,1.0,63.0,0.1264705882352941,0.03235294117647059,0.15882352941176472,0.8341176470588236,0.5876728380571572,3.66510047856,0.5821041936536471,0.49018828492061706
48,26.0,3.0,Gabriel,2.0,1.0,63.0,0.1264705882352941,0.03235294117647059,0.15882352941176472,0.8341176470588236,0.5973581766177805,2.2907110902,0.3638188202082353,0.4982669967317722
49,22.0,3.0,Gabriel,2.0,1.0,63.0,0.1264705882352941,0.03235294117647059,0.15882352941176472,0.8341176470588236,0.5400973366349124,1.5660417903,0.24872428434176472,0.45050471961665056
50,33.0,3.0,Gabriel,2.0,1.0,63.0,0.1264705882352941,0.03235294117647059,0.15882352941176472,0.8341176470588236,0.29215686274509806,3.621,0.5751000000000001,0.2436931949250289
51,18.0,3.0,Gabriel,2.0,1.0,63.0,0.1264705882352941,0.03235294117647059,0.15882352941176472,0.8341176470588236,0.29215686274509806,3.621,0.5751000000000001,0.2436931949250289
52,28.0,3.0,Gabriel,2.0,1.0,63.0,0.1264705882352941,0.03235294117647059,0.15882352941176472,0.8341176470588236,0.4674879949679536,1.84490299063,0.2930140043941765,0.38993998639091665
53,19.0,3.0,Gabriel,2.0,1.0,63.0,0.1264705882352941,0.03235294117647059,0.15882352941176472,0.8341176470588236,0.3478888552463483,2.82634329472,0.4488898173967059,0.29018023337607174
54,32.0,3.0,Gabriel,2.0,1.0,63.0,0.1264705882352941,0.03235294117647059,0.15882352941176472,0.8341176470588236,0.3478888552463483,2.82634329472,0.4488898173967059,0.29018023337607174
55,35.0,3.0,Gabriel,2.0,1.0,63.0,0.1264705882352941,0.03235294117647059,0.15882352941176472,0.8341176470588236,0.5897893416787048,2.693158923575,0.42773700550897065,0.4919536979414138
56,24.0,3.0,Gabriel,2.0,1.0,63.0,0.1264705882352941,0.03235294117647059,0.15882352941176472,0.8341176470588236,0.6379983648101909,1.8118273038000001,0.2877608070741177,0.5321656948828534
57,38.0,3.0,Gabriel,2.0,1.0,63.0,0.1264705882352941,0.03235294117647059,0.15882352941176472,0.8341176470588236,0.24705882352941178,4.76,0.756,0.2060761245674741
58,36.0,3.0,Gabriel,2.0,1.0,63.0,0.1264705882352941,0.03235294117647059,0.15882352941176472,0.8341176470588236,0.8266669419453656,1.9589323501599998,0.3111245497312941,0.6895374845167815
59,23.0,3.0,Gabriel,2.0,1.0,63.0,0.1264705882352941,0.03235294117647059,0.15882352941176472,0.8341176470588236,0.32367788494185806,1.64266044076,0.26089312882658827,0.2699854357926793
60,29.0,3.0,Gabriel,2.0,1.0,63.0,0.1264705882352941,0.03235294117647059,0.15882352941176472,0.8341176470588236,0.9223346090599682,2.4234503627,0.3849009399582354,0.7693355739100206
61,27.0,3.0,Gabriel,2.0,1.0,63.0,0.1264705882352941,0.03235294117647059,0.15882352941176472,0.8341176470588236,0.38042269822468006,2.11041091405,0.33518290987852944,0.31731728593093905
62,37.0,3.0,Gabriel,2.0,1.0,63.0,0.1264705882352941,0.03235294117647059,0.15882352941176472,0.8341176470588236,0.7766434757614936,1.54409883446,0.24523922664952943,0.6478120286057636
63,31.0,4.0,Havertz,4.0,1.0,79.0,0.3935294117647059,0.07411764705882352,0.4676470588235294,0.91,0.12447391851733418,1.4551910592266666,0.680515818873647,0.1132712658507741
64,20.0,4.0,Havertz,4.0,1.0,79.0,0.3935294117647059,0.07411764705882352,0.4676470588235294,0.91,0.41673048707050014,2.01927785215,0.9443093485054412,0.37922474323415517
65,25.0,4.0,Havertz,4.0,1.0,79.0,0.3935294117647059,0.07411764705882352,0.4676470588235294,0.91,0.2729411764705883,4.03325,1.8861375,0.24837647058823537
66,34.0,4.0,Havertz,4.0,1.0,79.0,0.3935294117647059,0.07411764705882352,0.4676470588235294,0.91,0.40172110633422187,2.4442081447,1.1430267500214706,0.3655662067641419
67,30.0,4.0,Havertz,4.0,1.0,79.0,0.3935294117647059,0.07411764705882352,0.4676470588235294,0.91,0.2351459292316733,2.22091873632,1.0386061149261177,0.2139827956008227
68,21.0,4.0,Havertz,4.0,1.0,79.0,0.3935294117647059,0.07411764705882352,0.4676470588235294,0.91,0.5876728380571572,3.66510047856,1.713973459091294,0.5347822826320131
69,26.0,4.0,Havertz,4.0,1.0,79.0,0.3935294117647059,0.07411764705882352,0.4676470588235294,0.91,0.5973581766177805,2.2907110902,1.0712443039464705,0.5435959407221802
70,22.0,4.0,Havertz,4.0,1.0,79.0,0.3935294117647059,0.07411764705882352,0.4676470588235294,0.91,0.5400973366349124,1.5660417903,0.7323548372285293,0.4914885763377703
71,33.0,4.0,Havertz,4.0,1.0,79.0,0.3935294117647059,0.07411764705882352,0.4676470588235294,0.91,0.29215686274509806,3.621,1.69335,0.26586274509803925
72,18.0,4.0,Havertz,4.0,1.0,79.0,0.3935294117647059,0.07411764705882352,0.4676470588235294,0.91,0.29215686274509806,3.621,1.69335,0.26586274509803925
73,28.0,4.0,Havertz,4.0,1.0,79.0,0.3935294117647059,0.07411764705882352,0.4676470588235294,0.91,0.4674879949679536,1.84490299063,0.862763457382853,0.4254140754208378
74,19.0,4.0,Havertz,4.0,1.0,79.0,0.3935294117647059,0.07411764705882352,0.4676470588235294,0.91,0.3478888552463483,2.82634329472,1.3217311290014118,0.316578858274177
75,32.0,4.0,Havertz,4.0,1.0,79.0,0.3935294117647059,0.07411764705882352,0.4676470588235294,0.91,0.3478888552463483,2.82634329472,1.3217311290014118,0.316578858274177
