,OppTeam,Teams.name,XGI_Weighted,XGC_Weighted,Minutes
0,1.0,Ars,0.9469341484169198,1.086573810728,379.61538461538464
1,2.0,Villa,0.48595446476189735,1.94384467784,348.5
2,3.0,Bour,0.5468785211069827,2.38901037637,379.46153846153845
3,4.0,Bfrd,0.6498452320766896,2.129392732272,352.85714285714283
4,5.0,Bri,0.5600517030362557,1.49982855852,379.3076923076923
5,6.0,Chel,0.7741187896451656,1.81588111684,379.84615384615387
6,7.0,CryP,0.4745606475926248,2.7664565851200003,346.0
7,8.0,Ev,0.3107168492312402,2.283530585248,352.64285714285717
8,9.0,Ful,0.5960467652071236,1.8199195200400002,352.57142857142856
9,10.0,Ips,0.2605042016806723,3.2232,352.42857142857144
10,11.0,Leic,0.37563025210084033,2.5908,352.42857142857144
11,12.0,LPool,1.4874036240634303,0.853166589346,379.3076923076923
12,13.0,ManC,1.0228050708582956,1.7852262504000003,379.7692307692308
13,14.0,ManU,0.6818786713389284,2.381990579408,349.2142857142857
14,15.0,Newc,1.0149509736095934,1.355209074128,379.53846153846155
15,16.0,For't,0.44441308776657046,1.989933087112,379.38461538461536
16,17.0,Soton,0.34751131221719456,4.263599999999999,386.15384615384613
17,18.0,Spurs,0.5484043765279922,2.638365940352,352.42857142857144
18,19.0,WHam,0.42332846705738375,2.7712017091199996,352.2857142857143
19,20.0,Wolv,0.4786419240012781,2.5404312955119996,379.46153846153845
